ID,Name,Age,Nationality,Overall,Potential,Club,Preferred Foot
212831,Alisson,25,Brazil,85,90,Liverpool,Right
212622,J. Kimmich,23,Germany,85,88,FC Bayern München,Right
208421,Saúl,23,Spain,85,90,Atlético Madrid,Left
204485,R. Mahrez,27,Algeria,85,85,Manchester City,Left
197445,D. Alaba,26,Austria,85,87,FC Bayern München,Left
193747,Koke,26,Spain,85,86,Atlético Madrid,Right
193301,A. Lacazette,27,France,85,86,Arsenal,Right
192774,K. Manolas,27,Greece,85,87,Roma,Right
192366,N. Otamendi,30,Argentina,85,85,Manchester City,Right
189513,Parejo,29,Spain,85,85,Valencia CF,Right
187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,Right
186153,W. Szczęsny,28,Poland,85,87,Juventus,Right
184941,A. Sánchez,29,Chile,85,85,Manchester United,Right
184267,Y. Brahimi,28,Algeria,85,85,FC Porto,Right
183907,J. Boateng,29,Germany,85,85,FC Bayern München,Right
181872,A. Vidal,31,Chile,85,85,FC Barcelona,Right
181458,I. Perišić,29,Croatia,85,85,Inter,Right
180930,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,Right
179846,S. Khedira,31,Germany,85,85,Juventus,Right
179844,Diego Costa,29,Spain,85,85,Atlético Madrid,Right
178518,R. Nainggolan,30,Belgium,85,85,Inter,Right
171919,Naldo,35,Brazil,85,85,FC Schalke 04,Right
170890,B. Matuidi,31,France,85,85,Juventus,Left
168609,Miranda,33,Brazil,85,85,Inter,Right
165153,K. Benzema,30,France,85,85,Real Madrid,Right
164169,Filipe Luís,32,Brazil,85,85,Atlético Madrid,Left
139720,V. Kompany,32,Belgium,85,85,Manchester City,Right
120533,Pepe,35,Portugal,85,85,Beşiktaş JK,Right
41236,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,Right
220793,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,Right
216460,J. Giménez,23,Uruguay,84,88,Atlético Madrid,Right
212462,Alex Telles,25,Brazil,84,87,FC Porto,Left
212218,A. Laporte,24,France,84,88,Manchester City,Left
212198,Bruno Fernandes,23,Portugal,84,88,Sporting CP,Right
212190,N. Süle,22,Germany,84,90,FC Bayern München,Right
211300,A. Martial,22,France,84,90,Manchester United,Right
211117,D. Alli,22,England,84,90,Tottenham Hotspur,Right
209499,Fabinho,24,Brazil,84,88,Liverpool,Right
207865,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,Right
207566,William Carvalho,26,Portugal,84,86,Real Betis,Right
205498,Jorginho,26,Italy,84,87,Chelsea,Right
204970,F. Thauvin,25,France,84,87,Olympique de Marseille,Left
204963,Carvajal,26,Spain,84,87,Real Madrid,Right
202556,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,Right
200104,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,Right
199482,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,Left
198176,S. de Vrij,26,Netherlands,84,86,Inter,Right
198009,M. Perin,25,Italy,84,89,Juventus,Right
193082,J. Cuadrado,30,Colombia,84,84,Juventus,Right
192629,Iago Aspas,30,Spain,84,84,RC Celta,Left
192563,B. Leno,26,Germany,84,87,Arsenal,Right
191202,N. Matić,29,Serbia,84,84,Manchester United,Left
190941,L. Hrádecký,28,Finland,84,84,Bayer 04 Leverkusen,Right
190584,Illarramendi,28,Spain,84,84,Real Sociedad,Right
188377,K. Walker,28,England,84,84,Manchester City,Right
186942,I. Gündoğan,27,Germany,84,84,Manchester City,Right
185020,José Callejón,31,Spain,84,84,Napoli,Right
183898,A. Di María,30,Argentina,84,84,Paris Saint-Germain,Left
181783,M. Mandžukić,32,Croatia,84,84,Juventus,Right
180403,Willian,29,Brazil,84,84,Chelsea,Right
178750,Sergio Asenjo,29,Spain,84,85,Villarreal CF,Right
178562,E. Banega,30,Argentina,84,84,Sevilla FC,Right
177413,A. Witsel,29,Belgium,84,84,Borussia Dortmund,Right
177388,D. Payet,31,France,84,84,Olympique de Marseille,Right
176769,Jonas,34,Brazil,84,84,SL Benfica,Right
172879,Sokratis,30,Greece,84,84,Arsenal,Right
167628,S. Ruffier,31,France,84,84,AS Saint-Étienne,Right
167397,Falcao,32,Colombia,84,84,AS Monaco,Right
163587,K. Schmeichel,31,Denmark,84,84,Leicester City,Right
157481,Raúl Albiol,32,Spain,84,84,Napoli,Right
143076,A. Gómez,30,Argentina,84,84,Atalanta,Right
137186,A. Barzagli,37,Italy,84,84,Juventus,Right
20775,Quaresma,34,Portugal,84,84,Beşiktaş JK,Right
9014,A. Robben,34,Netherlands,84,84,FC Bayern München,Left
231443,O. Dembélé,21,France,83,92,FC Barcelona,Left
230666,Gabriel Jesus,21,Brazil,83,92,Manchester City,Right
230481,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,Right
230375,Josué Chiamulera,26,Brazil,83,83,Grêmio,Right
230294,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,Right
225850,P. Kimpembe,22,France,83,89,Paris Saint-Germain,Left
220971,N. Keïta,23,Guinea,83,88,Liverpool,Right
219683,C. Tolisso,23,France,83,88,FC Bayern München,Right
213565,T. Lemar,22,France,83,89,Atlético Madrid,Left
213345,K. Coman,22,France,83,87,FC Bayern München,Right
213331,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,Right
212523,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,Left
212188,T. Werner,22,Germany,83,87,RB Leipzig,Right
210008,A. Rabiot,23,France,83,87,Paris Saint-Germain,Left
209658,L. Goretzka,23,Germany,83,88,FC Bayern München,Right
208808,Q. Promes,26,Netherlands,83,84,Sevilla FC,Right
208670,H. Ziyech,25,Morocco,83,86,Ajax,Left
208618,Lucas Vázquez,27,Spain,83,83,Real Madrid,Right
208418,Y. Carrasco,24,Belgium,83,86,Dalian YiFang FC,Right
208093,Gerard Moreno,26,Spain,83,85,Villarreal CF,Left
207863,Felipe,29,Brazil,83,83,FC Porto,Right
207410,M. Kovačić,24,Croatia,83,89,Chelsea,Right
206585,Kepa,23,Spain,83,91,Chelsea,Right
206545,Manu Trigueros,26,Spain,83,84,Villarreal CF,Right
206113,S. Gnabry,22,Germany,83,88,FC Bayern München,Right
204935,J. Pickford,24,England,83,88,Everton,Left
204639,S. Savić,27,Montenegro,83,86,Atlético Madrid,Right
203574,J. Stones,24,England,83,87,Manchester City,Right
202651,Suso,24,Spain,83,86,Milan,Left
202166,J. Draxler,24,Germany,83,86,Paris Saint-Germain,Right
201995,Felipe Anderson,25,Brazil,83,85,West Ham United,Right
200949,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,Right
200888,Danilo Pereira,26,Portugal,83,86,FC Porto,Right
200724,Nacho Fernández,28,Spain,83,85,Real Madrid,Right
200316,T. Horn,25,Germany,83,87,1. FC Köln,Left
199914,Allan,27,Brazil,83,83,Napoli,Right
199845,F. Acerbi,30,Italy,83,83,Lazio,Left
199564,Sergi Roberto,26,Spain,83,86,FC Barcelona,Right
198329,Rodrigo,27,Spain,83,84,Valencia CF,Left
197965,Pizzi,28,Portugal,83,83,SL Benfica,Right
195365,K. Kampl,27,Slovenia,83,83,RB Leipzig,Right
194404,Neto,28,Brazil,83,84,Valencia CF,Right
193698,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,Right
193474,I. Gueye,28,Senegal,83,83,Everton,Right
192883,H. Mkhitaryan,29,Armenia,83,83,Arsenal,Right
192638,Marcos Alonso,27,Spain,83,84,Chelsea,Left
192593,D. Subašić,33,Croatia,83,83,AS Monaco,Right
190547,K. Glik,30,Poland,83,83,AS Monaco,Right
189712,K. Strootman,28,Netherlands,83,83,Olympique de Marseille,Left
189068,B. Dost,29,Netherlands,83,83,Sporting CP,Right
188152,Oscar,26,Brazil,83,84,Shanghai SIPG FC,Right
186627,M. Balotelli,27,Italy,83,83,OGC Nice,Right
185221,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,Left
184942,Giuliano,28,Brazil,83,83,Al Nassr,Right
179944,David Luiz,31,Brazil,83,83,Chelsea,Right
179783,R. Fährmann,29,Germany,83,84,FC Schalke 04,Right
178088,Juan Mata,30,Spain,83,83,Manchester United,Left
178086,Adán,31,Spain,83,83,Atlético Madrid,Left
178005,Rui Patrício,30,Portugal,83,83,Wolverhampton Wanderers,Left
177683,Y. Sommer,29,Switzerland,83,84,Borussia Mönchengladbach,Right
177610,Javi Martínez,29,Spain,83,83,FC Bayern München,Right
177457,L. Bender,29,Germany,83,83,Bayer 04 Leverkusen,Right
176266,Lucas Leiva,31,Brazil,83,83,Lazio,Right
163705,S. Mandanda,33,France,83,83,Olympique de Marseille,Right
162895,Cesc Fàbregas,31,Spain,83,83,Chelsea,Right
162240,M. Dembélé,30,Belgium,83,83,Tottenham Hotspur,Left
156616,F. Ribéry,35,France,83,83,FC Bayern München,Right
104389,R. Jarstein,33,Norway,83,83,Hertha BSC,Right
53302,D. De Rossi,34,Italy,83,83,Roma,Right
24630,Pepe Reina,35,Spain,83,83,Milan,Right
236583,J. Pavlenka,26,Czech Republic,82,85,SV Werder Bremen,Right
235243,M. de Ligt,18,Netherlands,82,91,Ajax,Right
231866,Rodri,22,Spain,82,87,Atlético Madrid,Right
230658,Arthur,21,Brazil,82,90,FC Barcelona,Right
230621,G. Donnarumma,19,Italy,82,93,Milan,Right
230258,Rosberto Dourado,30,Brazil,82,82,Atlético Mineiro,Right
230225,Juiano Mestres,34,Brazil,82,82,Cruzeiro,Right
230168,Raphaelito Anjos,30,Brazil,82,82,Grêmio,Right
227055,Gelson Martins,23,Portugal,82,87,Atlético Madrid,Right
224411,Gonçalo Guedes,21,Portugal,82,86,Valencia CF,Right
223959,L. Torreira,22,Uruguay,82,87,Arsenal,Right
222737,Malcom,21,Brazil,82,89,FC Barcelona,Left
221087,Pau López,23,Spain,82,87,Real Betis,Left
220814,L. Hernández,22,France,82,88,Atlético Madrid,Left
220440,C. Lenglet,23,France,82,88,FC Barcelona,Left
216354,A. Kramarić,27,Croatia,82,83,TSG 1899 Hoffenheim,Right
216267,A. Robertson,24,Scotland,82,87,Liverpool,Left
216194,Dani García,28,Spain,82,83,Athletic Club de Bilbao,Right
212404,F. Bernardeschi,24,Italy,82,87,Juventus,Left
212194,J. Brandt,22,Germany,82,88,Bayer 04 Leverkusen,Right
211320,D. Rugani,23,Italy,82,86,Juventus,Right
210617,Samu Castillejo,23,Spain,82,86,Milan,Left
210514,João Cancelo,24,Portugal,82,88,Juventus,Right
210413,A. Romagnoli,23,Italy,82,89,Milan,Left
209989,T. Partey,25,Ghana,82,88,Atlético Madrid,Right
209297,Fred,25,Brazil,82,84,Manchester United,Left
208830,J. Vardy,31,England,82,82,Leicester City,Right
208596,A. Belotti,24,Italy,82,87,Torino,Right
208448,E. Forsberg,26,Sweden,82,83,RB Leipzig,Right
207494,J. Lingard,25,England,82,83,Manchester United,Right
207471,F. Vázquez,29,Argentina,82,82,Sevilla FC,Left
205678,E. Višća,28,Bosnia Herzegovina,82,82,Medipol Başakşehir FK,Right
205452,A. Rüdiger,25,Germany,82,84,Chelsea,Right
203551,A. Florenzi,27,Italy,82,83,Roma,Right
203263,H. Maguire,25,England,82,85,Leicester City,Right
202371,T. Meunier,26,Belgium,82,83,Paris Saint-Germain,Right
201956,S. Sané,27,Senegal,82,82,FC Schalke 04,Right
201455,G. Kondogbia,25,Central African Rep.,82,85,Valencia CF,Left
201400,Rafinha,25,Brazil,82,87,FC Barcelona,Left
201305,Gabriel Paulista,27,Brazil,82,83,Valencia CF,Right
201153,Morata,25,Spain,82,85,Chelsea,Right
199987,J. Cillessen,29,Netherlands,82,84,FC Barcelona,Right
199451,W. Ben Yedder,27,France,82,82,Sevilla FC,Right
198951,C. Bakambu,27,DR Congo,82,83,Beijing Sinobo Guoan FC,Right
198950,Pablo Sarabia,26,Spain,82,83,Sevilla FC,Left
198717,W. Zaha,25,Ivory Coast,82,85,Crystal Palace,Right
198706,Luis Alberto,25,Spain,82,85,Lazio,Right
198164,Jonathan Viera,28,Spain,82,82,Beijing Sinobo Guoan FC,Right
198141,Bartra,27,Spain,82,83,Real Betis,Right
197655,S. Coates,27,Uruguay,82,83,Sporting CP,Right
195093,Willian José,26,Brazil,82,83,Real Sociedad,Right
193525,Mário Fernandes,27,Russia,82,82,PFC CSKA Moscow,Right
193469,Víctor Ruiz,29,Spain,82,83,Villarreal CF,Left
193283,T. Delaney,26,Denmark,82,83,Borussia Dortmund,Left
192984,K. Casteels,26,Belgium,82,85,VfL Wolfsburg,Left
192318,M. Götze,26,Germany,82,85,Borussia Dortmund,Right
192227,S. Mustafi,26,Germany,82,84,Arsenal,Right
191180,J. Pastore,29,Argentina,82,82,Roma,Right
189505,Pedro,30,Spain,82,82,Chelsea,Right
189125,G. Bonaventura,28,Italy,82,82,Milan,Right
189117,R. Bürki,27,Switzerland,82,85,Borussia Dortmund,Right
188803,Taison,30,Brazil,82,82,Shakhtar Donetsk,Right
187936,S. Nzonzi,29,France,82,82,Roma,Right
187754,Marlos,30,Ukraine,82,82,Shakhtar Donetsk,Left
186561,A. Ramsey,27,Wales,82,83,Arsenal,Right
186345,K. Trippier,27,England,82,82,Tottenham Hotspur,Right
185103,A. Kolarov,32,Serbia,82,82,Roma,Left
184484,G. Sigurðsson,28,Iceland,82,82,Everton,Right
184431,S. Giovinco,31,Italy,82,82,Toronto FC,Right
184200,M. Arnautović,29,Austria,82,82,West Ham United,Right
184144,N. Gaitán,30,Argentina,82,82,Dalian YiFang FC,Left
183711,J. Henderson,28,England,82,82,Liverpool,Right
183574,M. Kruse,30,Germany,82,82,SV Werder Bremen,Left
183498,M. Parolo,33,Italy,82,82,Lazio,Right
183376,L. Fejsa,29,Serbia,82,82,SL Benfica,Right
183280,A. Rami,32,France,82,82,Olympique de Marseille,Right
181786,V. Ćorluka,32,Croatia,82,82,Lokomotiv Moscow,Right
181291,G. Wijnaldum,27,Netherlands,82,82,Liverpool,Right
179847,F. Fazio,31,Argentina,82,82,Roma,Right
178509,O. Giroud,31,France,82,82,Chelsea,Left
173521,Marcano,31,Spain,82,82,Roma,Left
171897,A. Guardado,31,Mexico,82,82,Real Betis,Left
170481,E. Garay,31,Argentina,82,82,Valencia CF,Right
168530,Jardel,32,Brazil,82,82,SL Benfica,Right
168435,S. Sirigu,31,Italy,82,82,Torino,Right
168354,E. Viviano,32,Italy,82,82,Sporting CP,Left
165229,L. Koscielny,32,France,82,82,Arsenal,Right
163489,A. Consigli,31,Italy,82,82,Sassuolo,Right
158963,L. Biglia,32,Argentina,82,82,Milan,Right
146530,Dani Alves,35,Brazil,82,82,Paris Saint-Germain,Right
113422,David Villa,36,Spain,82,82,New York City FC,Right
106231,Aduriz,37,Spain,82,82,Athletic Club de Bilbao,Right
48940,P. Čech,36,Czech Republic,82,82,Arsenal,Left
5479,Casillas,37,Spain,82,82,FC Porto,Left
231677,M. Rashford,20,England,81,89,Manchester United,Right
230271,Laure Santeiro,30,Brazil,81,81,Fluminense,Left
229906,L. Bailey,20,Jamaica,81,89,Bayer 04 Leverkusen,Left
229237,M. Akanji,22,Switzerland,81,87,Borussia Dortmund,Right
228702,F. de Jong,21,Netherlands,81,89,Ajax,Right
227928,Nélson Semedo,24,Portugal,81,86,FC Barcelona,Right
226456,Pablo Fornals,22,Spain,81,86,Villarreal CF,Right
226271,Fabián,22,Spain,81,89,Napoli,Left
225508,E. Bailly,24,Ivory Coast,81,87,Manchester United,Right
222509,Dani Ceballos,21,Spain,81,88,Real Madrid,Right
221992,H. Lozano,22,Mexico,81,86,PSV,Right
216475,Morales,30,Spain,81,81,Levante UD,Right
216451,J. Seri,26,Ivory Coast,81,82,Fulham,Right
216409,M. Politano,24,Italy,81,84,Inter,Left
216352,M. Brozović,25,Croatia,81,84,Inter,Right
216201,Williams,24,Spain,81,87,Athletic Club de Bilbao,Right
214997,A. Correa,23,Argentina,81,87,Atlético Madrid,Right
213661,A. Christensen,22,Denmark,81,88,Chelsea,Right
212814,João Mário,25,Portugal,81,84,Inter,Right
212151,T. Strakosha,23,Albania,81,86,Lazio,Right
210864,E. Hysaj,24,Albania,81,86,Napoli,Right
210406,P. Zieliński,24,Poland,81,88,Napoli,Right
210243,Ricardo Pereira,24,Portugal,81,85,Leicester City,Right
210035,Grimaldo,22,Spain,81,87,SL Benfica,Left
209889,R. Guerreiro,24,Portugal,81,86,Borussia Dortmund,Left
208135,A. Doucouré,25,France,81,85,Watford,Right
207877,J. Martínez,25,Venezuela,81,84,Atlanta United,Right
207664,C. Bacca,31,Colombia,81,81,Villarreal CF,Right
206467,A. Plea,25,France,81,83,Borussia Mönchengladbach,Right
205923,B. Davies,25,Wales,81,84,Tottenham Hotspur,Left
205362,M. Nastasić,25,Serbia,81,84,FC Schalke 04,Left
205175,A. Milik,24,Poland,81,88,Napoli,Left
204923,M. Sabitzer,24,Austria,81,84,RB Leipzig,Right
204884,B. Mendy,23,France,81,86,Manchester City,Left
204024,C. Kramer,27,Germany,81,82,Borussia Mönchengladbach,Right
203890,S. Vrsaljko,26,Croatia,81,84,Inter,Right
203486,T. Hazard,25,Belgium,81,83,Borussia Mönchengladbach,Right
202857,K. Bellarabi,28,Germany,81,81,Bayer 04 Leverkusen,Right
202685,S. Zaza,27,Italy,81,82,Torino,Left
201454,F. Ghoulam,27,Algeria,81,82,Napoli,Left
200726,B. Lecomte,27,France,81,84,Montpellier HSC,Left
200647,J. Iličić,30,Slovenia,81,81,Atalanta,Left
200610,K. Volland,25,Germany,81,83,Bayer 04 Leverkusen,Left
200454,Paco Alcácer,24,Spain,81,85,Borussia Dortmund,Right
199715,Vitolo,28,Spain,81,81,Atlético Madrid,Right
199503,G. Xhaka,25,Switzerland,81,84,Arsenal,Left
199434,D. Tadić,29,Serbia,81,81,Ajax,Left
199042,C. Aránguiz,29,Chile,81,81,Bayer 04 Leverkusen,Right
196889,S. Verdi,25,Italy,81,81,Napoli,Left
195086,D. Lovren,28,Croatia,81,82,Liverpool,Right
193532,G. Medel,30,Chile,81,81,Beşiktaş JK,Right
193348,X. Shaqiri,26,Switzerland,81,81,Liverpool,Left
193165,J. Corona,25,Mexico,81,83,FC Porto,Right
193105,A. Areola,25,France,81,85,Paris Saint-Germain,Right
192641,K. Vogt,26,Germany,81,82,TSG 1899 Hoffenheim,Right
191740,Ander Herrera,28,Spain,81,81,Manchester United,Right
190972,E. Salvio,27,Argentina,81,81,SL Benfica,Right
190813,S. El Shaarawy,25,Italy,81,82,Roma,Right
189881,C. Smalling,28,England,81,82,Manchester United,Right
189362,Hulk,31,Brazil,81,81,Shanghai SIPG FC,Left
189358,S. Kagawa,29,Japan,81,81,Borussia Dortmund,Right
188988,M. Lanzini,25,Argentina,81,85,West Ham United,Right
187491,F. Smolov,28,Russia,81,81,Lokomotiv Moscow,Right
187072,L. Stindl,29,Germany,81,81,Borussia Mönchengladbach,Right
185239,O. Toprak,28,Turkey,81,82,Borussia Dortmund,Right
183900,D. Perotti,29,Argentina,81,81,Roma,Right
182494,F. Muslera,32,Uruguay,81,81,Galatasaray SK,Right
179784,B. Höwedes,30,Germany,81,81,Lokomotiv Moscow,Right
179645,S. Kjær,29,Denmark,81,81,Sevilla FC,Right
177458,S. Bender,29,Germany,81,81,Bayer 04 Leverkusen,Right
177326,M. Valbuena,33,France,81,81,Fenerbahçe SK,Right
175379,Pedro León,31,Spain,81,81,SD Eibar,Right
173909,K. Boateng,31,Ghana,81,81,Sassuolo,Right
173771,L. Piszczek,33,Poland,81,81,Borussia Dortmund,Right
173221,A. Candreva,31,Italy,81,81,Inter,Right
172522,D. Wass,29,Denmark,81,81,Valencia CF,Right
170368,E. Lamela,26,Argentina,81,82,Tottenham Hotspur,Left
169595,D. Rose,27,England,81,81,Tottenham Hotspur,Left
169416,C. Vela,29,Mexico,81,81,Los Angeles FC,Left
169195,Renato Augusto,30,Brazil,81,81,Beijing Sinobo Guoan FC,Right
167905,A. Valencia,32,Ecuador,81,81,Manchester United,Right
164835,L. Fabiański,33,Poland,81,81,West Ham United,Right
162347,João Moutinho,31,Portugal,81,81,Wolverhampton Wanderers,Right
161956,Borja Valero,33,Spain,81,81,Inter,Right
159261,F. Quagliarella,35,Italy,81,81,Sampdoria,Right
159145,B. Gomis,32,France,81,81,Al Hilal,Right
157960,Manuel Fernandes,32,Portugal,81,81,Lokomotiv Moscow,Right
156519,H. Herrera,28,Mexico,81,81,FC Porto,Right
144622,Raffael,33,Brazil,81,81,Borussia Mönchengladbach,Right
139068,Nani,31,Portugal,81,81,Sporting CP,Right
138412,J. Milner,32,England,81,81,Liverpool,Right
112316,J. Mathieu,34,France,81,81,Sporting CP,Left
45186,Joaquín,36,Spain,81,81,Real Betis,Right
239207,M. Gómez,21,Uruguay,80,85,RC Celta,Right
235790,K. Havertz,19,Germany,80,89,Bayer 04 Leverkusen,Left
235569,T. Ndombele,21,France,80,89,Olympique Lyonnais,Right
234906,H. Aouar,20,France,80,90,Olympique Lyonnais,Right
234153,Carlos Soler,21,Spain,80,87,Valencia CF,Right
234035,Odriozola,22,Spain,80,88,Real Madrid,Right
230977,M. Almirón,24,Paraguay,80,84,Atlanta United,Left
230347,Welington Dano,30,Brazil,80,80,Cruzeiro,Left
230234,Everton Andrão,34,Brazil,80,80,Fluminense,Right
230142,Oyarzabal,21,Spain,80,87,Real Sociedad,Left
228229,F. Balbuena,26,Paraguay,80,83,West Ham United,Right
227536,M. Marega,27,Mali,80,80,FC Porto,Right
226851,B. Pavard,22,France,80,86,VfB Stuttgart,Right
226790,W. Ndidi,21,Nigeria,80,85,Leicester City,Right
226753,A. Onana,22,Cameroon,80,85,Ajax,Right
226226,G. Lo Celso,22,Argentina,80,86,Real Betis,Left
224334,M. Acuña,26,Argentina,80,80,Sporting CP,Left
224293,Rúben Neves,21,Portugal,80,87,Wolverhampton Wanderers,Right
221639,Mariano,24,Dominican Republic,80,85,Real Madrid,Right
221540,Raúl,28,Brazil,80,80,SC Braga,Left
220477,M. Caldara,24,Italy,80,86,Milan,Right
219985,M. Vecino,26,Uruguay,80,81,Inter,Right
219809,T. Bakayoko,23,France,80,85,Milan,Right
218339,M. Dahoud,22,Germany,80,86,Borussia Dortmund,Right
216547,Rafa,25,Portugal,80,83,SL Benfica,Right
215785,K. Baldé,23,Senegal,80,85,Inter,Right
215316,G. Rulli,26,Argentina,80,85,Real Sociedad,Right
214584,F. Armani,31,Argentina,80,80,River Plate,Right
212692,Rony Lopes,22,Portugal,80,85,AS Monaco,Left
212623,Santi Mina,22,Spain,80,85,Valencia CF,Right
211748,K. Demirbay,24,Germany,80,84,TSG 1899 Hoffenheim,Left
211688,Gayà,23,Spain,80,85,Valencia CF,Left
211575,André Gomes,24,Portugal,80,85,Everton,Right
